Aggregation Type,Description,Dimensions,Metric,Metric Display Name,Unit,resource
Total,The number of bytes received on all network interfaces by the Virtual Machine(s) (Incoming Traffic).,No Dimensions,Network In,Network In,Bytes,Microsoft.ClassicCompute/virtualMachines
Total,The number of bytes out on all network interfaces by the Virtual Machine(s) (Outgoing Traffic).,No Dimensions,Network Out,Network Out,Bytes,Microsoft.ClassicCompute/virtualMachines
Average,Average bytes read from disk during monitoring period.,No Dimensions,Disk Read Bytes/Sec,Disk Read,BytesPerSecond,Microsoft.ClassicCompute/virtualMachines
Average,Average bytes written to disk during monitoring period.,No Dimensions,Disk Write Bytes/Sec,Disk Write,BytesPerSecond,Microsoft.ClassicCompute/virtualMachines
Average,Disk Read IOPS.,No Dimensions,Disk Read Operations/Sec,Disk Read Operations/Sec,CountPerSecond,Microsoft.ClassicCompute/virtualMachines
Average,Disk Write IOPS.,No Dimensions,Disk Write Operations/Sec,Disk Write Operations/Sec,CountPerSecond,Microsoft.ClassicCompute/virtualMachines
Average,The percentage of allocated compute units that are currently in use by the Virtual Machine(s).,No Dimensions,Percentage CPU,Percentage CPU,Percent,Microsoft.ClassicCompute/domainNames/slots/roles
Total,The number of bytes received on all network interfaces by the Virtual Machine(s) (Incoming Traffic).,No Dimensions,Network In,Network In,Bytes,Microsoft.ClassicCompute/domainNames/slots/roles
Total,The number of bytes out on all network interfaces by the Virtual Machine(s) (Outgoing Traffic).,No Dimensions,Network Out,Network Out,Bytes,Microsoft.ClassicCompute/domainNames/slots/roles
Average,Average bytes read from disk during monitoring period.,No Dimensions,Disk Read Bytes/Sec,Disk Read,BytesPerSecond,Microsoft.ClassicCompute/domainNames/slots/roles
Average,Average bytes written to disk during monitoring period.,No Dimensions,Disk Write Bytes/Sec,Disk Write,BytesPerSecond,Microsoft.ClassicCompute/domainNames/slots/roles
Average,Disk Read IOPS.,No Dimensions,Disk Read Operations/Sec,Disk Read Operations/Sec,CountPerSecond,Microsoft.ClassicCompute/domainNames/slots/roles
Average,Disk Write IOPS.,No Dimensions,Disk Write Operations/Sec,Disk Write Operations/Sec,CountPerSecond,Microsoft.ClassicCompute/domainNames/slots/roles
Total,Total number of calls.,No Dimensions,TotalCalls,Total Calls,Count,Microsoft.CognitiveServices/accounts
Total,Number of successful calls.,No Dimensions,SuccessfulCalls,Successful Calls,Count,Microsoft.CognitiveServices/accounts
Total,Total number of calls with error response (HTTP response code 4xx or 5xx).,No Dimensions,TotalErrors,Total Errors,Count,Microsoft.CognitiveServices/accounts
Total,Number of calls that exceeded rate or quota limit.,No Dimensions,BlockedCalls,Blocked Calls,Count,Microsoft.CognitiveServices/accounts
Total,Number of calls with service internal error (HTTP response code 5xx).,No Dimensions,ServerErrors,Server Errors,Count,Microsoft.CognitiveServices/accounts
Total,Number of calls with client side error (HTTP response code 4xx).,No Dimensions,ClientErrors,Client Errors,Count,Microsoft.CognitiveServices/accounts
Total,Size of incoming data in bytes.,No Dimensions,DataIn,Data In,Bytes,Microsoft.CognitiveServices/accounts
Total,Size of outgoing data in bytes.,No Dimensions,DataOut,Data Out,Bytes,Microsoft.CognitiveServices/accounts
Average,Latency in milliseconds.,No Dimensions,Latency,Latency,MilliSeconds,Microsoft.CognitiveServices/accounts
Total,Total number of characters in incoming text request.,No Dimensions,CharactersTranslated,Characters Translated,Count,Microsoft.CognitiveServices/accounts
Total,Total duration of speech session in seconds.,No Dimensions,SpeechSessionDuration,Speech Session Duration,Seconds,Microsoft.CognitiveServices/accounts
Total,Total number of transactions,No Dimensions,TotalTransactions,Total Transactions,Count,Microsoft.CognitiveServices/accounts
Average,The percentage of allocated compute units that are currently in use by the Virtual Machine(s),No Dimensions,Percentage CPU,Percentage CPU,Percent,Microsoft.Compute/virtualMachines
Total,The number of bytes received on all network interfaces by the Virtual Machine(s) (Incoming Traffic),No Dimensions,Network In,Network In,Bytes,Microsoft.Compute/virtualMachines
Total,The number of bytes out on all network interfaces by the Virtual Machine(s) (Outgoing Traffic),No Dimensions,Network Out,Network Out,Bytes,Microsoft.Compute/virtualMachines
Total,Total bytes read from disk during monitoring period,No Dimensions,Disk Read Bytes,Disk Read Bytes,Bytes,Microsoft.Compute/virtualMachines
Total,Total bytes written to disk during monitoring period,No Dimensions,Disk Write Bytes,Disk Write Bytes,Bytes,Microsoft.Compute/virtualMachines
Average,Disk Read IOPS,No Dimensions,Disk Read Operations/Sec,Disk Read Operations/Sec,CountPerSecond,Microsoft.Compute/virtualMachines
Average,Disk Write IOPS,No Dimensions,Disk Write Operations/Sec,Disk Write Operations/Sec,CountPerSecond,Microsoft.Compute/virtualMachines
Average,Total number of credits available to burst,No Dimensions,CPU Credits Remaining,CPU Credits Remaining,Count,Microsoft.Compute/virtualMachines
Average,Total number of credits consumed by the Virtual Machine,No Dimensions,CPU Credits Consumed,CPU Credits Consumed,Count,Microsoft.Compute/virtualMachines
Average,The percentage of allocated compute units that are currently in use by the Virtual Machine(s),No Dimensions,Percentage CPU,Percentage CPU,Percent,Microsoft.Compute/virtualMachineScaleSets
Total,The number of bytes received on all network interfaces by the Virtual Machine(s) (Incoming Traffic),No Dimensions,Network In,Network In,Bytes,Microsoft.Compute/virtualMachineScaleSets
Total,The number of bytes out on all network interfaces by the Virtual Machine(s) (Outgoing Traffic),No Dimensions,Network Out,Network Out,Bytes,Microsoft.Compute/virtualMachineScaleSets
Total,Total bytes read from disk during monitoring period,No Dimensions,Disk Read Bytes,Disk Read Bytes,Bytes,Microsoft.Compute/virtualMachineScaleSets
Total,Total bytes written to disk during monitoring period,No Dimensions,Disk Write Bytes,Disk Write Bytes,Bytes,Microsoft.Compute/virtualMachineScaleSets
Average,Disk Read IOPS,No Dimensions,Disk Read Operations/Sec,Disk Read Operations/Sec,CountPerSecond,Microsoft.Compute/virtualMachineScaleSets
Average,Disk Write IOPS,No Dimensions,Disk Write Operations/Sec,Disk Write Operations/Sec,CountPerSecond,Microsoft.Compute/virtualMachineScaleSets
Average,Total number of credits available to burst,No Dimensions,CPU Credits Remaining,CPU Credits Remaining,Count,Microsoft.Compute/virtualMachineScaleSets
Average,Total number of credits consumed by the Virtual Machine,No Dimensions,CPU Credits Consumed,CPU Credits Consumed,Count,Microsoft.Compute/virtualMachineScaleSets
Average,The percentage of allocated compute units that are currently in use by the Virtual Machine(s),No Dimensions,Percentage CPU,Percentage CPU,Percent,Microsoft.Compute/virtualMachineScaleSets/virtualMachines
Total,The number of bytes received on all network interfaces by the Virtual Machine(s) (Incoming Traffic),No Dimensions,Network In,Network In,Bytes,Microsoft.Compute/virtualMachineScaleSets/virtualMachines
Total,The number of bytes out on all network interfaces by the Virtual Machine(s) (Outgoing Traffic),No Dimensions,Network Out,Network Out,Bytes,Microsoft.Compute/virtualMachineScaleSets/virtualMachines
Total,Total bytes read from disk during monitoring period,No Dimensions,Disk Read Bytes,Disk Read Bytes,Bytes,Microsoft.Compute/virtualMachineScaleSets/virtualMachines
Total,Total bytes written to disk during monitoring period,No Dimensions,Disk Write Bytes,Disk Write Bytes,Bytes,Microsoft.Compute/virtualMachineScaleSets/virtualMachines
Average,Disk Read IOPS,No Dimensions,Disk Read Operations/Sec,Disk Read Operations/Sec,CountPerSecond,Microsoft.Compute/virtualMachineScaleSets/virtualMachines
Average,Disk Write IOPS,No Dimensions,Disk Write Operations/Sec,Disk Write Operations/Sec,CountPerSecond,Microsoft.Compute/virtualMachineScaleSets/virtualMachines
Average,Total number of credits available to burst,No Dimensions,CPU Credits Remaining,CPU Credits Remaining,Count,Microsoft.Compute/virtualMachineScaleSets/virtualMachines
Average,Total number of credits consumed by the Virtual Machine,No Dimensions,CPU Credits Consumed,CPU Credits Consumed,Count,Microsoft.Compute/virtualMachineScaleSets/virtualMachines
Average,CPU usage on all cores in millicores.,containerName,CpuUsage,CPU Usage,Count,Microsoft.ContainerInstance/containerGroups
Average,Total memory usage in byte.,containerName,MemoryUsage,Memory Usage,Bytes,Microsoft.ContainerInstance/containerGroups
Total,,No Dimensions,DCIApiCalls,Customer Insights API Calls,Count,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIMappingImportOperationSuccessfulLines,Mapping Import Operation Successful Lines,Count,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIMappingImportOperationFailedLines,Mapping Import Operation Failed Lines,Count,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIMappingImportOperationTotalLines,Mapping Import Operation Total Lines,Count,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIMappingImportOperationRuntimeInSeconds,Mapping Import Operation Runtime In Seconds,Seconds,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIOutboundProfileExportSucceeded,Outbound Profile Export Succeeded,Count,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIOutboundProfileExportFailed,Outbound Profile Export Failed,Count,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIOutboundProfileExportDuration,Outbound Profile Export Duration,Seconds,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIOutboundKpiExportSucceeded,Outbound Kpi Export Succeeded,Count,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIOutboundKpiExportFailed,Outbound Kpi Export Failed,Count,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIOutboundKpiExportDuration,Outbound Kpi Export Duration,Seconds,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIOutboundKpiExportStarted,Outbound Kpi Export Started,Seconds,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIOutboundKpiRecordCount,Outbound Kpi Record Count,Seconds,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIOutboundProfileExportCount,Outbound Profile Export Count,Seconds,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIOutboundInitialProfileExportFailed,Outbound Initial Profile Export Failed,Seconds,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIOutboundInitialProfileExportSucceeded,Outbound Initial Profile Export Succeeded,Seconds,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIOutboundInitialKpiExportFailed,Outbound Initial Kpi Export Failed,Seconds,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIOutboundInitialKpiExportSucceeded,Outbound Initial Kpi Export Succeeded,Seconds,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,DCIOutboundInitialProfileExportDurationInSeconds,Outbound Initial Profile Export Duration In Seconds,Seconds,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,AdlaJobForStandardKpiFailed,Adla Job For Standard Kpi Failed In Seconds,Seconds,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,AdlaJobForStandardKpiTimeOut,Adla Job For Standard Kpi TimeOut In Seconds,Seconds,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,AdlaJobForStandardKpiCompleted,Adla Job For Standard Kpi Completed In Seconds,Seconds,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,ImportASAValuesFailed,Import ASA Values Failed Count,Count,Microsoft.CustomerInsights/hubs
Total,,No Dimensions,ImportASAValuesSucceeded,Import ASA Values Succeeded Count,Count,Microsoft.CustomerInsights/hubs
Last,,No Dimensions,DCIProfilesCount,Profile Instance Count,Count,Microsoft.CustomerInsights/hubs
Last,,No Dimensions,DCIInteractionsPerMonthCount,Interactions per Month Count,Count,Microsoft.CustomerInsights/hubs
Last,,No Dimensions,DCIKpisCount,KPI Count,Count,Microsoft.CustomerInsights/hubs
Last,,No Dimensions,DCISegmentsCount,Segment Count,Count,Microsoft.CustomerInsights/hubs
Last,,No Dimensions,DCIPredictiveMatchPoliciesCount,Predictive Match Count,Count,Microsoft.CustomerInsights/hubs
Last,,No Dimensions,DCIPredictionsCount,Prediction Count,Count,Microsoft.CustomerInsights/hubs
Total,,pipelineName,FailedRuns,Failed Runs,Count,Microsoft.DataFactory/datafactories
Total,,pipelineName,SuccessfulRuns,Successful Runs,Count,Microsoft.DataFactory/datafactories
Total,,FailureType,PipelineFailedRuns,Failed pipeline runs metrics,Count,Microsoft.DataFactory/factories
Total,,FailureType,PipelineSucceededRuns,Succeeded pipeline runs metrics,Count,Microsoft.DataFactory/factories
Total,,ActivityType,ActivityFailedRuns,Failed activity runs metrics,Count,Microsoft.DataFactory/factories
Total,,ActivityType,ActivitySucceededRuns,Succeeded activity runs metrics,Count,Microsoft.DataFactory/factories
Total,,Name,TriggerFailedRuns,Failed trigger runs metrics,Count,Microsoft.DataFactory/factories
Total,,Name,TriggerSucceededRuns,Succeeded trigger runs metrics,Count,Microsoft.DataFactory/factories
Average,,IntegrationRuntimeName,IntegrationRuntimeCpuPercentage,Integration runtime CPU utilization,Percent,Microsoft.DataFactory/factories
Average,,IntegrationRuntimeName,IntegrationRuntimeAvailableMemory,Integration runtime available memory,Bytes,Microsoft.DataFactory/factories
Total,Count of successful jobs.,No Dimensions,JobEndedSuccess,Successful Jobs,Count,Microsoft.DataLakeAnalytics/accounts
Total,Count of failed jobs.,No Dimensions,JobEndedFailure,Failed Jobs,Count,Microsoft.DataLakeAnalytics/accounts
Total,Count of cancelled jobs.,No Dimensions,JobEndedCancelled,Cancelled Jobs,Count,Microsoft.DataLakeAnalytics/accounts
Total,Total AU time for successful jobs.,No Dimensions,JobAUEndedSuccess,Successful AU Time,Seconds,Microsoft.DataLakeAnalytics/accounts
Total,Total AU time for failed jobs.,No Dimensions,JobAUEndedFailure,Failed AU Time,Seconds,Microsoft.DataLakeAnalytics/accounts
Total,Total AU time for cancelled jobs.,No Dimensions,JobAUEndedCancelled,Cancelled AU Time,Seconds,Microsoft.DataLakeAnalytics/accounts
Maximum,Total amount of data stored in the account.,No Dimensions,TotalStorage,Total Storage,Bytes,Microsoft.DataLakeStore/accounts
Total,Total amount of data written to the account.,No Dimensions,DataWritten,Data Written,Bytes,Microsoft.DataLakeStore/accounts
Total,Total amount of data read from the account.,No Dimensions,DataRead,Data Read,Bytes,Microsoft.DataLakeStore/accounts
Total,Count of data write requests to the account.,No Dimensions,WriteRequests,Write Requests,Count,Microsoft.DataLakeStore/accounts
Total,Count of data read requests to the account.,No Dimensions,ReadRequests,Read Requests,Count,Microsoft.DataLakeStore/accounts
Average,CPU percent,No Dimensions,cpu_percent,CPU percent,Percent,Microsoft.DBforMySQL/servers
Average,Compute Unit limit,No Dimensions,compute_limit,Compute Unit limit,Count,Microsoft.DBforMySQL/servers
Average,Compute Unit percentage,No Dimensions,compute_consumption_percent,Compute Unit percentage,Percent,Microsoft.DBforMySQL/servers
Average,Memory percent,No Dimensions,memory_percent,Memory percent,Percent,Microsoft.DBforMySQL/servers
Average,IO percent,No Dimensions,io_consumption_percent,IO percent,Percent,Microsoft.DBforMySQL/servers
Average,Storage percentage,No Dimensions,storage_percent,Storage percentage,Percent,Microsoft.DBforMySQL/servers
Average,Storage used,No Dimensions,storage_used,Storage used,Bytes,Microsoft.DBforMySQL/servers
Average,Storage limit,No Dimensions,storage_limit,Storage limit,Bytes,Microsoft.DBforMySQL/servers
Average,Total active connections,No Dimensions,active_connections,Total active connections,Count,Microsoft.DBforMySQL/servers
Average,Total failed connections,No Dimensions,connections_failed,Total failed connections,Count,Microsoft.DBforMySQL/servers
Average,CPU percent,No Dimensions,cpu_percent,CPU percent,Percent,Microsoft.DBforPostgreSQL/servers
Average,Compute Unit limit,No Dimensions,compute_limit,Compute Unit limit,Count,Microsoft.DBforPostgreSQL/servers
Average,Compute Unit percentage,No Dimensions,compute_consumption_percent,Compute Unit percentage,Percent,Microsoft.DBforPostgreSQL/servers
Average,Memory percent,No Dimensions,memory_percent,Memory percent,Percent,Microsoft.DBforPostgreSQL/servers
Average,IO percent,No Dimensions,io_consumption_percent,IO percent,Percent,Microsoft.DBforPostgreSQL/servers
Average,Storage percentage,No Dimensions,storage_percent,Storage percentage,Percent,Microsoft.DBforPostgreSQL/servers
Average,Storage used,No Dimensions,storage_used,Storage used,Bytes,Microsoft.DBforPostgreSQL/servers
Average,Storage limit,No Dimensions,storage_limit,Storage limit,Bytes,Microsoft.DBforPostgreSQL/servers
Average,Total active connections,No Dimensions,active_connections,Total active connections,Count,Microsoft.DBforPostgreSQL/servers
Average,Total failed connections,No Dimensions,connections_failed,Total failed connections,Count,Microsoft.DBforPostgreSQL/servers
Total,Number of device-to-cloud telemetry messages attempted to be sent to your IoT hub,No Dimensions,d2c.telemetry.ingress.allProtocol,Telemetry message send attempts,Count,Microsoft.Devices/IotHubs
Total,Number of device-to-cloud telemetry messages sent successfully to your IoT hub,No Dimensions,d2c.telemetry.ingress.success,Telemetry messages sent,Count,Microsoft.Devices/IotHubs
Total,Number of cloud-to-device commands completed successfully by the device,No Dimensions,c2d.commands.egress.complete.success,Commands completed,Count,Microsoft.Devices/IotHubs
Total,Number of cloud-to-device commands abandoned by the device,No Dimensions,c2d.commands.egress.abandon.success,Commands abandoned,Count,Microsoft.Devices/IotHubs
Total,Number of cloud-to-device commands rejected by the device,No Dimensions,c2d.commands.egress.reject.success,Commands rejected,Count,Microsoft.Devices/IotHubs
Total,Number of devices registered to your IoT hub,No Dimensions,devices.totalDevices,Total devices,Count,Microsoft.Devices/IotHubs
Total,Number of devices connected to your IoT hub,No Dimensions,devices.connectedDevices.allProtocol,Connected devices,Count,Microsoft.Devices/IotHubs
Total,Number of times messages were successfully written to endpoints (total),No Dimensions,d2c.telemetry.egress.success,Telemetry messages delivered,Count,Microsoft.Devices/IotHubs
Total,Number of messages dropped because the delivery endpoint was dead,No Dimensions,d2c.telemetry.egress.dropped,Dropped messages,Count,Microsoft.Devices/IotHubs
Total,The count of messages not matching any routes including the fallback route,No Dimensions,d2c.telemetry.egress.orphaned,Orphaned messages,Count,Microsoft.Devices/IotHubs
Total,The count of messages not delivered due to incompatibility with the endpoint,No Dimensions,d2c.telemetry.egress.invalid,Invalid messages,Count,Microsoft.Devices/IotHubs
Total,Number of messages written to the fallback endpoint,No Dimensions,d2c.telemetry.egress.fallback,Messages matching fallback condition,Count,Microsoft.Devices/IotHubs
Total,Number of times messages were successfully written to Event Hub endpoints,No Dimensions,d2c.endpoints.egress.eventHubs,Messages delivered to Event Hub endpoints,Count,Microsoft.Devices/IotHubs
Average,The average latency between message ingress to the IoT hub and message ingress into an Event Hub endpoint, in milliseconds,d2c.endpoints.latency.eventHubs,Message latency for Event Hub endpoints,Milliseconds,Microsoft.Devices/IotHubs
Total,Number of times messages were successfully written to Service Bus Queue endpoints,No Dimensions,d2c.endpoints.egress.serviceBusQueues,Messages delivered to Service Bus Queue endpoints,Count,Microsoft.Devices/IotHubs
Average,The average latency between message ingress to the IoT hub and message ingress into a Service Bus Queue endpoint, in milliseconds,d2c.endpoints.latency.serviceBusQueues,Message latency for Service Bus Queue endpoints,Milliseconds,Microsoft.Devices/IotHubs
Total,Number of times messages were successfully written to Service Bus Topic endpoints,No Dimensions,d2c.endpoints.egress.serviceBusTopics,Messages delivered to Service Bus Topic endpoints,Count,Microsoft.Devices/IotHubs
Average,The average latency between message ingress to the IoT hub and message ingress into a Service Bus Topic endpoint, in milliseconds,d2c.endpoints.latency.serviceBusTopics,Message latency for Service Bus Topic endpoints,Milliseconds,Microsoft.Devices/IotHubs
Total,Number of times messages were successfully written to the built-in endpoint (messages/events),No Dimensions,d2c.endpoints.egress.builtIn.events,Messages delivered to the built-in endpoint (messages/events),Count,Microsoft.Devices/IotHubs
Average,The average latency between message ingress to the IoT hub and message ingress into the built-in endpoint (messages/events), in milliseconds,d2c.endpoints.latency.builtIn.events,Message latency for the built-in endpoint (messages/events),Milliseconds,Microsoft.Devices/IotHubs
Total,Number of times messages were successfully written to storage endpoints,No Dimensions,d2c.endpoints.egress.storage,Messages delivered to storage endpoints,Count,Microsoft.Devices/IotHubs
Average,The average latency between message ingress to the IoT hub and message ingress into a storage endpoint, in milliseconds,d2c.endpoints.latency.storage,Message latency for storage endpoints,Milliseconds,Microsoft.Devices/IotHubs
Total,Amount of data, in bytes,d2c.endpoints.egress.storage.bytes,Data written to storage,Bytes,Microsoft.Devices/IotHubs
Total,Number of blobs written to storage endpoints,No Dimensions,d2c.endpoints.egress.storage.blobs,Blobs written to storage,Count,Microsoft.Devices/IotHubs
Total,The count of all successful device-initiated twin reads.,No Dimensions,d2c.twin.read.success,Successful twin reads from devices,Count,Microsoft.Devices/IotHubs
Total,The count of all failed device-initiated twin reads.,No Dimensions,d2c.twin.read.failure,Failed twin reads from devices,Count,Microsoft.Devices/IotHubs
Average,The average, min,d2c.twin.read.size,Response size of twin reads from devices,Bytes,Microsoft.Devices/IotHubs
Total,The count of all successful device-initiated twin updates.,No Dimensions,d2c.twin.update.success,Successful twin updates from devices,Count,Microsoft.Devices/IotHubs
Total,The count of all failed device-initiated twin updates.,No Dimensions,d2c.twin.update.failure,Failed twin updates from devices,Count,Microsoft.Devices/IotHubs
Average,The average, min,d2c.twin.update.size,Size of twin updates from devices,Bytes,Microsoft.Devices/IotHubs
Total,The count of all successful direct method calls.,No Dimensions,c2d.methods.success,Successful direct method invocations,Count,Microsoft.Devices/IotHubs
Total,The count of all failed direct method calls.,No Dimensions,c2d.methods.failure,Failed direct method invocations,Count,Microsoft.Devices/IotHubs
Average,The average, min,c2d.methods.requestSize,Request size of direct method invocations,Bytes,Microsoft.Devices/IotHubs
Average,The average, min,c2d.methods.responseSize,Response size of direct method invocations,Bytes,Microsoft.Devices/IotHubs
Total,The count of all successful back-end-initiated twin reads.,No Dimensions,c2d.twin.read.success,Successful twin reads from back end,Count,Microsoft.Devices/IotHubs
Total,The count of all failed back-end-initiated twin reads.,No Dimensions,c2d.twin.read.failure,Failed twin reads from back end,Count,Microsoft.Devices/IotHubs
Average,The average, min,c2d.twin.read.size,Response size of twin reads from back end,Bytes,Microsoft.Devices/IotHubs
Total,The count of all successful back-end-initiated twin updates.,No Dimensions,c2d.twin.update.success,Successful twin updates from back end,Count,Microsoft.Devices/IotHubs
Total,The count of all failed back-end-initiated twin updates.,No Dimensions,c2d.twin.update.failure,Failed twin updates from back end,Count,Microsoft.Devices/IotHubs
Average,The average, min,c2d.twin.update.size,Size of twin updates from back end,Bytes,Microsoft.Devices/IotHubs
Total,The count of all successful twin queries.,No Dimensions,twinQueries.success,Successful twin queries,Count,Microsoft.Devices/IotHubs
Total,The count of all failed twin queries.,No Dimensions,twinQueries.failure,Failed twin queries,Count,Microsoft.Devices/IotHubs
Average,The average, min,twinQueries.resultSize,Twin queries result size,Bytes,Microsoft.Devices/IotHubs
Total,The count of all successful creation of twin update jobs.,No Dimensions,jobs.createTwinUpdateJob.success,Successful creations of twin update jobs,Count,Microsoft.Devices/IotHubs
Total,The count of all failed creation of twin update jobs.,No Dimensions,jobs.createTwinUpdateJob.failure,Failed creations of twin update jobs,Count,Microsoft.Devices/IotHubs
Total,The count of all successful creation of direct method invocation jobs.,No Dimensions,jobs.createDirectMethodJob.success,Successful creations of method invocation jobs,Count,Microsoft.Devices/IotHubs
Total,The count of all failed creation of direct method invocation jobs.,No Dimensions,jobs.createDirectMethodJob.failure,Failed creations of method invocation jobs,Count,Microsoft.Devices/IotHubs
Total,The count of all successful calls to list jobs.,No Dimensions,jobs.listJobs.success,Successful calls to list jobs,Count,Microsoft.Devices/IotHubs
Total,The count of all failed calls to list jobs.,No Dimensions,jobs.listJobs.failure,Failed calls to list jobs,Count,Microsoft.Devices/IotHubs
Total,The count of all successful calls to cancel a job.,No Dimensions,jobs.cancelJob.success,Successful job cancellations,Count,Microsoft.Devices/IotHubs
Total,The count of all failed calls to cancel a job.,No Dimensions,jobs.cancelJob.failure,Failed job cancellations,Count,Microsoft.Devices/IotHubs
Total,The count of all successful calls to query jobs.,No Dimensions,jobs.queryJobs.success,Successful job queries,Count,Microsoft.Devices/IotHubs
Total,The count of all failed calls to query jobs.,No Dimensions,jobs.queryJobs.failure,Failed job queries,Count,Microsoft.Devices/IotHubs
Total,The count of all completed jobs.,No Dimensions,jobs.completed,Completed jobs,Count,Microsoft.Devices/IotHubs
Total,The count of all failed jobs.,No Dimensions,jobs.failed,Failed jobs,Count,Microsoft.Devices/IotHubs
Total,Number of throttling errors due to device throughput throttles,No Dimensions,d2c.telemetry.ingress.sendThrottle,Number of throttling errors,Count,Microsoft.Devices/IotHubs
Average,Number of total messages used today. This is a cumulative value that is reset to zero at 00:00 UTC every day.,No Dimensions,dailyMessageQuotaUsed,Total number of messages used,Count,Microsoft.Devices/IotHubs
Total,Bytes transferred to and from any devices connected to IotHub,No Dimensions,deviceDataUsage,Total devicedata usage,Count,Microsoft.Devices/IotHubs
Total,Number of device registrations attempted,ProvisioningServiceName,RegistrationAttempts,Registration attempts,Count,Microsoft.Devices/provisioningServices
Total,Number of devices assigned to an IoT hub,ProvisioningServiceName,DeviceAssignments,Devices assigned,Count,Microsoft.Devices/provisioningServices
Total,Number of device attestations attempted,ProvisioningServiceName,AttestationAttempts,Attestation attempts,Count,Microsoft.Devices/provisioningServices
Average,requested usage rate,No Dimensions,elasticPool.requestedUsageRate,requested usage rate,Percent,Microsoft.Devices/ElasticPools
Average,requested usage rate,No Dimensions,tenantHub.requestedUsageRate,requested usage rate,Percent,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Bytes transferred to and from any devices connected to IotHub,No Dimensions,deviceDataUsage,Total devicedata usage,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Number of device-to-cloud telemetry messages attempted to be sent to your IoT hub,No Dimensions,d2c.telemetry.ingress.allProtocol,Telemetry message send attempts,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Number of device-to-cloud telemetry messages sent successfully to your IoT hub,No Dimensions,d2c.telemetry.ingress.success,Telemetry messages sent,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Number of cloud-to-device commands completed successfully by the device,No Dimensions,c2d.commands.egress.complete.success,Commands completed,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Number of cloud-to-device commands abandoned by the device,No Dimensions,c2d.commands.egress.abandon.success,Commands abandoned,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Number of cloud-to-device commands rejected by the device,No Dimensions,c2d.commands.egress.reject.success,Commands rejected,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Number of devices registered to your IoT hub,No Dimensions,devices.totalDevices,Total devices,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Number of devices connected to your IoT hub,No Dimensions,devices.connectedDevices.allProtocol,Connected devices,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Number of times messages were successfully written to endpoints (total),No Dimensions,d2c.telemetry.egress.success,Telemetry messages delivered,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Number of messages dropped because the delivery endpoint was dead,No Dimensions,d2c.telemetry.egress.dropped,Dropped messages,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of messages not matching any routes including the fallback route,No Dimensions,d2c.telemetry.egress.orphaned,Orphaned messages,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,The count of messages not delivered due to incompatibility with the endpoint,No Dimensions,d2c.telemetry.egress.invalid,Invalid messages,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Number of messages written to the fallback endpoint,No Dimensions,d2c.telemetry.egress.fallback,Messages matching fallback condition,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Total,Number of times messages were successfully written to Event Hub endpoints,No Dimensions,d2c.endpoints.egress.eventHubs,Messages delivered to Event Hub endpoints,Count,Microsoft.Devices/ElasticPools/IotHubTenants
Average,The average latency between message ingress to the IoT hub and message ingress into an Event Hub endpoint, in milliseconds,d2c.endpoints.latency.eventHubs,Message latency for Event Hub endpoints,Milliseconds,Microsoft.Devices/ElasticPools/IotHubTenants
